VG,50,50,50,100,100,100,150,150,150,200,200,200,250,250,250
-3.75,2.04E-12,2.34E-12,2.54E-12,2.38E-12,1.86E-12,2.08E-12,1.26E-12,1.20E-12,1.28E-12,1.38E-12,1.72E-12,1.56E-12,1.80E-12,1.62E-12,1.88E-12
-3,2.14E-12,2.60E-12,2.40E-12,2.28E-12,2.02E-12,2.24E-12,1.48E-12,1.10E-12,1.24E-12,1.46E-12,1.38E-12,1.74E-12,1.94E-12,2.00E-12,2.30E-12
-2.25,2.14E-12,2.46E-12,2.44E-12,2.26E-12,2.36E-12,2.42E-12,1.62E-12,9.40E-13,1.34E-12,1.70E-12,1.40E-12,1.78E-12,2.02E-12,2.20E-12,2.26E-12
-1.5,2.46E-12,2.36E-12,2.82E-12,2.00E-12,2.30E-12,2.52E-12,1.48E-12,1.14E-12,1.36E-12,3.24E-12,1.32E-12,2.02E-12,4.92E-12,2.86E-12,3.18E-12
-0.75,2.66E-12,2.22E-12,3.04E-12,2.00E-12,2.06E-12,2.54E-12,3.06E-12,1.52E-12,2.24E-12,1.45E-11,2.96E-12,5.82E-12,2.97E-11,1.49E-11,1.44E-11
0,2.54E-12,2.22E-12,2.76E-12,2.22E-12,2.26E-12,2.24E-12,1.43E-11,4.06E-12,6.76E-12,6.00E-11,1.52E-11,2.70E-11,1.16E-10,7.37E-11,6.66E-11
0.75,2.34E-12,2.22E-12,3.06E-12,2.10E-12,2.24E-12,2.32E-12,4.93E-11,1.70E-11,2.62E-11,1.72E-10,5.93E-11,9.01E-11,3.08E-10,2.28E-10,2.00E-10
1.5,2.18E-12,2.76E-12,2.96E-12,1.22E-12,2.76E-12,2.32E-12,1.25E-10,5.09E-11,7.29E-11,3.74E-10,1.56E-10,2.18E-10,6.35E-10,5.12E-10,4.43E-10
2.25,2.28E-12,2.88E-12,3.10E-12,1.20E-12,2.48E-12,2.48E-12,2.59E-10,1.19E-10,1.61E-10,6.90E-10,3.26E-10,4.29E-10,1.12E-09,9.48E-10,8.13E-10
3,2.58E-12,2.62E-12,2.98E-12,6.86E-12,2.10E-12,1.40E-12,4.67E-10,2.35E-10,3.04E-10,1.14E-09,5.87E-10,7.42E-10,1.78E-09,1.56E-09,1.33E-09
3.75,2.68E-12,2.62E-12,2.60E-12,1.90E-11,2.00E-15,1.02E-12,7.68E-10,4.15E-10,5.17E-10,1.74E-09,9.55E-10,1.17E-09,2.64E-09,2.36E-09,2.00E-09
4.5,2.32E-12,2.70E-12,2.50E-12,4.12E-11,3.64E-12,6.00E-12,1.18E-09,6.68E-10,8.15E-10,2.52E-09,1.44E-09,1.74E-09,3.70E-09,3.36E-09,2.83E-09
5.25,1.12E-12,1.80E-12,1.54E-12,7.82E-11,1.34E-11,1.86E-11,1.71E-09,1.01E-09,1.21E-09,3.47E-09,2.06E-09,2.44E-09,4.95E-09,4.55E-09,3.85E-09
6,4.00E-14,1.40E-12,9.60E-13,1.34E-10,2.80E-11,3.80E-11,2.39E-09,1.45E-09,1.71E-09,4.62E-09,2.83E-09,3.31E-09,6.45E-09,5.98E-09,5.06E-09
6.75,2.90E-12,5.00E-13,1.60E-13,2.14E-10,5.19E-11,6.96E-11,3.21E-09,1.99E-09,2.33E-09,5.97E-09,3.74E-09,4.33E-09,8.17E-09,7.63E-09,6.46E-09
7.5,7.36E-12,1.48E-12,2.42E-12,3.24E-10,8.95E-11,1.17E-10,4.19E-09,2.66E-09,3.07E-09,7.53E-09,4.82E-09,5.53E-09,1.01E-08,9.51E-09,8.05E-09
8.25,1.49E-11,5.16E-12,6.44E-12,4.68E-10,1.45E-10,1.84E-10,5.35E-09,3.45E-09,3.96E-09,9.32E-09,6.07E-09,6.90E-09,1.23E-08,1.16E-08,9.86E-09
9,2.60E-11,1.09E-11,1.32E-11,6.55E-10,2.22E-10,2.75E-10,6.67E-09,4.38E-09,4.99E-09,1.13E-08,7.48E-09,8.46E-09,1.48E-08,1.40E-08,1.19E-08
9.75,4.17E-11,1.91E-11,2.32E-11,8.90E-10,3.21E-10,3.96E-10,8.20E-09,5.45E-09,6.17E-09,1.36E-08,9.08E-09,1.02E-08,1.75E-08,1.66E-08,1.41E-08
10.5,6.60E-11,3.05E-11,3.68E-11,1.18E-09,4.53E-10,5.53E-10,9.93E-09,6.68E-09,7.51E-09,1.61E-08,1.09E-08,1.22E-08,2.05E-08,1.94E-08,1.65E-08
11.25,9.70E-11,4.69E-11,5.58E-11,1.55E-09,6.24E-10,7.49E-10,1.19E-08,8.05E-09,9.02E-09,1.88E-08,1.28E-08,1.43E-08,2.36E-08,2.25E-08,1.92E-08
12,1.40E-10,6.92E-11,8.19E-11,1.98E-09,8.33E-10,9.92E-10,1.40E-08,9.60E-09,1.07E-08,2.18E-08,1.50E-08,1.67E-08,2.71E-08,2.59E-08,2.21E-08
12.75,1.98E-10,9.92E-11,1.15E-10,2.48E-09,1.09E-09,1.28E-09,1.64E-08,1.13E-08,1.26E-08,2.51E-08,1.73E-08,1.92E-08,3.09E-08,2.96E-08,2.52E-08
13.5,2.68E-10,1.38E-10,1.58E-10,3.06E-09,1.39E-09,1.64E-09,1.90E-08,1.32E-08,1.46E-08,2.86E-08,1.99E-08,2.20E-08,3.49E-08,3.35E-08,2.86E-08
14.25,3.55E-10,1.89E-10,2.16E-10,3.73E-09,1.75E-09,2.06E-09,2.18E-08,1.53E-08,1.69E-08,3.23E-08,2.27E-08,2.50E-08,3.92E-08,3.76E-08,3.22E-08
15,4.69E-10,2.53E-10,2.85E-10,4.53E-09,2.18E-09,2.55E-09,2.49E-08,1.75E-08,1.93E-08,3.64E-08,2.57E-08,2.83E-08,4.37E-08,4.20E-08,3.58E-08
15.75,5.97E-10,3.26E-10,3.77E-10,5.44E-09,2.67E-09,3.13E-09,2.82E-08,2.00E-08,2.20E-08,4.07E-08,2.88E-08,3.17E-08,4.84E-08,4.66E-08,3.99E-08
16.5,7.72E-10,4.30E-10,5.00E-10,6.53E-09,3.28E-09,3.84E-09,3.18E-08,2.26E-08,2.49E-08,4.53E-08,3.23E-08,3.54E-08,5.35E-08,5.16E-08,4.42E-08
17.25,9.81E-10,5.48E-10,6.22E-10,7.63E-09,3.94E-09,4.56E-09,3.56E-08,2.54E-08,2.80E-08,5.01E-08,3.59E-08,3.94E-08,5.89E-08,5.69E-08,4.87E-08
18,1.22E-09,6.95E-10,7.81E-10,8.93E-09,4.69E-09,5.39E-09,3.97E-08,2.85E-08,3.12E-08,5.53E-08,3.98E-08,4.35E-08,6.45E-08,6.24E-08,5.35E-08
18.75,1.50E-09,8.63E-10,9.76E-10,1.04E-08,5.52E-09,6.33E-09,4.41E-08,3.18E-08,3.48E-08,6.07E-08,4.39E-08,4.79E-08,7.05E-08,6.82E-08,5.85E-08
19.5,1.84E-09,1.08E-09,1.20E-09,1.20E-08,6.48E-09,7.42E-09,4.87E-08,3.52E-08,3.86E-08,6.64E-08,4.82E-08,5.26E-08,7.67E-08,7.43E-08,6.38E-08
20.25,2.25E-09,1.31E-09,1.47E-09,1.38E-08,7.56E-09,8.65E-09,5.37E-08,3.89E-08,4.26E-08,7.25E-08,5.27E-08,5.75E-08,8.32E-08,8.06E-08,6.94E-08
21,2.72E-09,1.60E-09,1.80E-09,1.57E-08,8.76E-09,1.00E-08,5.89E-08,4.28E-08,4.68E-08,7.88E-08,5.75E-08,6.26E-08,8.99E-08,8.73E-08,7.51E-08
